,avisoid,empresaid,avisofechapublicacion,avisovacante,mostrarsueldo,avisoexperiencia,expiracion,dias,avisorepublicacion,avisocargo,areanombre,actividadempresanombre,avisocuerpo,disponibilidadnombre,avisoduracioncont,avisolugartrabajo,gradoescolarnombre,situacionestudios,avisorequisitos,carreras,estado,endpagado_o_gratuito,nivelnombre,carreras_array,sueldoestimado,_merge,bucket1,bucket2,bucket3,bucket4,similars
2,185341.0,2674,2008-01-08,1.0,0.0,8.0,2008-04-07 00:00:00,90,0,Asistente de Gerencia,Asistente y Secretaria,Agropecuaria ,"Importante Empresa de servicios requiere     Asistente de Gerencia      El cargo será responsable de realizar actividades de apoyo administrativo a la gestión de gerencia en los ámbitos de manejo de la información, preparación de informes y documentos, coordinación de comunicaciones y logística.  Esta función la desempeñan 2 asistentes de gerencia, quienes atienden a un total de 10 ejecutivos.     Funciones principales:    •	Manejar y procesar la información de gestión relacionada con las diferentes áreas de la           organización.   •	Atender llamados telefónicos y derivarlos apropiadamente a las áreas correspondientes.   •	Coordinar el apoyo logístico requerido para las actividades de gestión del área.  •	Redactar y generar reportes, informes y documentos cuando se requiera.  •	Gestionar la correcta emisión de correspondencia y canalización, distribución interna y/o         archivo de la que se recibe en la oficina.   •	Administrar y mantener un adecuado control de los materiales de uso de la oficina.    •	Coordinar los viajes, traslados y reservas necesarias tanto para el de la empresa         como para externos a ella. Manejar relación con agencia.   •	Supervisar a un junior.   •	Administrar una caja chica.  •	Coordinar reserva de salas de reuniones y procurar su adecuada presentación.  •	Recepcionar adecuadamente clientes y visitas del equipo ejecutivo.  •	Atender en menor grado requerimientos del resto de la organización.",Jornada Completa,,Santiago,Técnico profesional superior,Indiferente,"•	Secretariado Ejecutivo y/o Bilingüe.
•	Manejo intermedio del idioma inglés",[Secretariado] - ,Desactivo,Pagado,Nivel usuario,,0.0,Matched (3),1,0,0,0,[426]
3,185433.0,41550,2008-04-07,3.0,0.0,3.0,2008-07-06 00:00:00,90,0,Ejecutivo de Venta,Ventas,Arquitectura / Diseño / Decoración,"Importante compañía multinacional, líder en brindar soluciones flexibles e innovadoras en servicios de Courier Express nacional e internacional, requiere contratar para su sede en Santiago de Chile a: Ejecutivo de Venta.  Buscamos profesionales del área de con full experiencia en manejo de empresas Pymes. Deben poseer experiencia comprobada de a lo menos 3 años alcanzando los mejores resultados en de servicios.  Dentro de las principales actividades del cargo se encuentra el desarrollo, mantención y la generación de nuevos negocios, a través del teléfono y ocasionales visitas a terreno.  Nuestra búsqueda está centrada en personas  dinámicas y proactivas, con excelencia en la atención de clientes, capaces de trabajar bajo presión y con una clara orientación en la obtención de metas.  Ofrecemos la posibilidad de integrarse a un grato clima laboral y a una empresa con una fuerte  Orientación en Responsabilidad Social.",Jornada Completa,,Santiago,Técnico profesional superior,Indiferente,"Experiencia comprobada de a lo menos 3 años alcanzando los mejores resultados en ventas de servicios.
Dinámica y proactiva, con excelencia en la atención de clientes. 
Capaces de trabajar bajo presión y con una clara orientación en la obtención de metas.",,Desactivo,Pagado,Nivel usuario,,500000.0,Matched (3),1,0,0,0,"[1477, 1752]"
5,193752.0,14223,2008-03-05,4.0,1.0,4.0,2008-06-03 00:00:00,90,0,Estudiantes  de  electrónica,Servicio Técnico,Defensa,BUSCA  líder en soluciones de impresión y copiado con servicio técnico de excelencia en el mercado desea integrar a su staff                        TÉCNICOS ELECTRÓNICOS  Estudiantes  de  Técnico  en electrónica  o  Ingeniería  en ejecución en electrónica    para trabajar part-time como Técnico prinicpalmente  apoyando  en la  repararción   y  prepararción  de toda nuestra línea de equipos multifuncionales que isntalamos  en  clientes  empresas   OFRECEMOS  Incorporarte a una  excelente  empresa  como  part-time  Manejar  tu  propio tiempo  y  horarios  dependiendo  de  tu  disponibilidad  de  tiempo  Si  te  destacas  incorporarte  en un  futuro a nuestro  staff  estable  de  tecnicos  de  gran  prestigio a lo  largo  del  pais  -Una  atractiva  renta  y  alta  donde  ganas  de  acuerdo a la  cantidad  de  tiempo  que  quieras  invertir  en tu  trabajo,Jornada Completa,indefinido,SANTIAGO  CENTRO,Técnico medio/ colegio técnico,Indiferente,"REQUISITOS 
Estar   actualmente  estudiando  Técnico  electrónico  o  Ingeniería  en electrónica  en Instituciones  de  prestigio 
Experiencia deseable  reparando  equipamientos  tecnológicos o fotocopiadores o en empresas donde trabajen con conectividad y redes 
- Alta Facilidad  y  gusto  por  armar y desarmar equipos 
",[Técnico en Electricidad] - ,Desactivo,Pagado,Nivel usuario,,400000.0,Matched (3),0,0,1,0,[544]
9,201125.0,9467,2008-01-31,20.0,0.0,1.0,2008-04-30 00:00:00,90,0,VENDEDOR EN TERRENO SANTIAGO,Ventas,Arquitectura / Diseño / Decoración,"Reconocida empresa de servicios, requiere contratar a los mejores Ejecutivos de en Terreno para la ciudad de Santiago.      Nuestra búsqueda está basada en personas con experiencia mínima de un año de trabajo en terreno, tales como: Ejecutivos de de Seguros, Isapres, AFP, Planes de Celulares, etc.  Con clara orientación al cumplimiento de metas y logro de objetivos, pro activos y dinámicos.     Se ofrece:     Integrarse a una Empresa Multinacional de Servicios.     Estabilidad Laboral     Un atractivo sistema de remuneraciones y comisiones.     Muy buenos incentivos por sobre cumplimiento de metas.",Jornada Completa,,Santiago,Media,Indiferente,"Un año de experiencia en el área ventas.
Disponibiliadad para trabajar en terreno",,Desactivo,Pagado,Nivel usuario,,400000.0,Matched (3),1,0,0,0,"[11, 12, 13, 15, 16]"
11,201546.0,9467,2008-02-10,20.0,0.0,1.0,2008-05-10 00:00:00,90,0,Vendedor en Terreno - SANTIAGO,Ventas,Arquitectura / Diseño / Decoración,"Reconocida empresa de servicios, requiere contratar a los mejores Ejecutivos de en Terreno para la ciudad de Santiago.   Nuestra búsqueda está basada en personas con experiencia mínima de un año de trabajo en terreno, tales como: Ejecutivos de de Seguros, Isapres, AFP, Planes de Celulares, etc.  Con clara orientación al cumplimiento de metas y logro de objetivos, pro activos y dinámicos.  Se ofrece:  Integrarse a una Empresa Multinacional de Servicios.  Estabilidad Laboral.  Un atractivo sistema de remuneraciones y comisiones.  Muy buenos incentivos por sobre cumplimiento de metas.",Jornada Completa,,Santiago,Media,Indiferente,"- Un año de experiencia en el área ventas.
- Disponibiliadad para trabajar en terreno.",,Desactivo,Pagado,Nivel usuario,,300000.0,Matched (3),1,0,0,0,"[9, 12, 13, 15, 16]"
12,201554.0,9467,2008-01-22,10.0,0.0,1.0,2008-04-21 00:00:00,90,0,Vendedor en Terreno - VIÑA DEL MAR,Ventas,Arquitectura / Diseño / Decoración,"Reconocida empresa de servicios, requiere contratar a los mejores Ejecutivos de en Terreno para la ciudad de Viña del Mar.  Nuestra búsqueda está basada en personas con experiencia mínima de un año de trabajo en terreno, tales como: Ejecutivos de de Seguros, Isapres, AFP, Planes de Celulares, etc.  Con clara orientación al cumplimiento de metas y logro de objetivos, pro activos y dinámicos.  Se ofrece:  Integrarse a una Empresa Multinacional de Servicios.  Estabilidad Laboral.  Un atractivo sistema de remuneraciones y comisiones.  Muy buenos incentivos por sobre cumplimiento de metas.",Jornada Completa,,Viña del Mar,Media,Indiferente,"- Un año de experiencia en el área ventas.
- Disponibiliadad para trabajar en terreno.",,Desactivo,Pagado,Nivel usuario,,300000.0,Matched (3),1,0,0,0,"[9, 11, 13, 15, 16]"
13,201555.0,9467,2008-01-07,10.0,0.0,1.0,2008-04-06 00:00:00,90,0,Vendedor en Terreno - RANCAGUA,Ventas,Arquitectura / Diseño / Decoración,"Reconocida empresa de servicios, requiere contratar a los mejores Ejecutivos de en Terreno para la ciudad de Rancagua.   Nuestra búsqueda está basada en personas con experiencia mínima de un año de trabajo en terreno, tales como: Ejecutivos de de Seguros, Isapres, AFP, Planes de Celulares, etc.  Con clara orientación al cumplimiento de metas y logro de objetivos, pro activos y dinámicos.  Se ofrece:  Integrarse a una Empresa Multinacional de Servicios.  Estabilidad Laboral.  Un atractivo sistema de remuneraciones y comisiones.  Muy buenos incentivos por sobre cumplimiento de metas.",Jornada Completa,,Rancagua,Media,Indiferente,"- Un año de experiencia en el área ventas.
- Disponibiliadad para trabajar en terreno.",,Desactivo,Pagado,Nivel usuario,,300000.0,Matched (3),1,0,0,0,"[9, 11, 12, 15, 16]"
15,202783.0,9467,2008-02-08,20.0,0.0,1.0,2008-05-08 00:00:00,90,0,VENDEDOR EN TERRENO - SANTIAGO,Ventas,Arquitectura / Diseño / Decoración,"Reconocida empresa de servicios, requiere contratar a los mejores Ejecutivos de en Terreno para la ciudad de Santiago.   Nuestra búsqueda está basada en personas con experiencia mínima de un año de trabajo en terreno, tales como: Ejecutivos de de Seguros, Isapres, AFP, Planes de Celulares, etc.  Con clara orientación al cumplimiento de metas y logro de objetivos, pro activos y dinámicos.  Se ofrece:  Integrarse a una Empresa Multinacional de Servicios.  Estabilidad Laboral.  Un atractivo sistema de remuneraciones y comisiones.  Muy buenos incentivos por sobre cumplimiento de metas.",Jornada Completa,,Santiago,Media,Indiferente,"- Un año de experiencia en el área ventas.
- Disponibiliadad para trabajar en terreno.",,Desactivo,Pagado,Nivel usuario,,400000.0,Matched (3),1,0,0,0,"[9, 11, 12, 13, 16]"
16,202807.0,9467,2008-01-22,10.0,0.0,1.0,2008-04-21 00:00:00,90,0,VENDEDOR EN TERRENO - RANCAGUA,Ventas,Arquitectura / Diseño / Decoración,"Reconocida empresa de servicios, requiere contratar a los mejores Ejecutivos de en Terreno para la ciudad de Rancagua.      Nuestra búsqueda está basada en personas con experiencia mínima de un año de trabajo en terreno, tales como: Ejecutivos de de Seguros, Isapres, AFP, Planes de Celulares, etc.     Con clara orientación al cumplimiento de metas y logro de objetivos, pro activos y dinámicos.     Se ofrece:     Integrarse a una Empresa Multinacional de Servicios.     Estabilidad Laboral.     Un atractivo sistema de remuneraciones y comisiones.     Muy buenos incentivos por sobre cumplimiento de metas.",Jornada Completa,,Rancagua,Media,Indiferente,"Un año de experiencia en el área ventas.
Disponibiliadad para trabajar en terreno.
Residencia en la VI región",,Desactivo,Pagado,Nivel usuario,,400000.0,Matched (3),1,0,0,0,"[9, 11, 12, 13, 15]"
17,203448.0,44231,2008-01-02,40.0,1.0,1.0,2008-04-01 00:00:00,90,0,Ejecutivo de Soporte Telefonico,Telecomunicaciones,Defensa,"El cargo implica atender llamadas telefónicas de clientes que requieren soporte técnico de redes. El ejecutivo debe conocer, conceptos tales cómo IP, Hosting, comandos a nivel DOS, etc.      - El postulante debe vivir en las comunas del radio urbano de la región metropolitana, debido a que a partir de las 22:00 horas se envía al ejecutivo en móvil a domicilio, y fuera de este radio no hay cobertura de móviles.    -Deseable formación en áreas de Atención al Cliente    -Experiencia laboral mínima de 6 meses.    -Experiencia en Atención Telefónica mínima de 6 meses    -Deseable experiencia en empresas de servicios de Call Center.    -Estudios Técnicos en redes y telecomunicaciones    - Disponibilidad para trabajar en turnos rotativos de mañana tarde o noche, de lunes a domingo. (los turnos son de 36 horas semanales, lo que implica 6 horas de trabajo diarias más el tiempo de colación)    Se ofrece cargo de ejecutivo de soporte Call Center prestando servicios para empresa líder a nivel latinoamericano.    Proceso de capacitación de 12 días (una vez aprobada, se paga con la primera renta un bono por aprobar capacitación)",Por Turnos,Por proyecto,Santiago Centro,Técnico profesional superior,Indiferente,"-Enseñanza tecnica completa

-Mayor de 18 años",[Telecomunicaciones] - ,Desactivo,Gratuito,Nivel técnico,,220000.0,Matched (3),0,0,1,0,[18]
